"","votemail1a","votemail1b","votecount","vote20jb"
"929",6,77,2,2
"930",2,77,3,2
"931",6,77,2,1
"932",1,77,4,2
"933",3,77,3,1
"934",4,77,3,3
"935",2,77,5,1
"936",4,77,2,1
"937",1,77,3,2
"938",1,77,5,1
"939",1,77,5,1
"940",3,77,3,2
"941",2,77,3,2
"942",4,77,3,4
"943",4,77,4,2
"944",3,77,3,1
"945",2,77,2,1
"946",1,77,4,2
"947",1,77,4,1
"948",7,77,4,1
"949",4,77,5,1
"950",2,77,3,2
"951",1,77,2,3
"952",5,77,3,1
"953",2,77,2,2
"954",4,77,3,1
"955",3,77,3,2
"956",6,77,4,1
"957",4,77,3,4
"958",4,77,4,4
"959",2,77,3,2
"960",1,77,5,2
"961",4,77,3,2
"962",3,77,5,1
"963",1,77,4,1
"964",3,77,4,2
"965",1,77,4,1
"966",7,77,4,1
"967",2,77,5,2
"968",2,77,2,1
"969",1,77,2,2
"970",1,77,5,2
"971",2,77,5,1
"972",7,77,2,1
"973",1,77,5,2
"974",1,77,3,2
"975",2,77,2,2
"976",2,77,3,1
"977",5,77,4,1
"978",1,77,3,1
"979",1,77,4,2
"980",1,77,4,2
"981",2,77,3,4
"982",1,77,3,1
"983",3,77,2,1
"984",7,77,3,1
"985",2,77,4,1
"986",7,77,3,1
"987",5,77,3,2
"988",7,77,3,1
"989",2,77,4,1
"990",1,77,3,1
"991",2,77,3,1
"992",3,77,3,2
"993",1,77,4,1
"994",1,77,4,2
"995",2,77,4,1
"996",2,77,5,2
"997",6,77,1,1
"998",4,77,5,2
"999",1,77,5,1
"1000",5,77,2,2
"1001",1,77,5,1
"1002",2,77,3,1
"1003",4,77,2,2
"1004",3,77,4,2
"1005",1,77,4,1
"1006",5,77,4,1
"1007",5,77,2,1
"1008",4,77,3,1
"1009",4,77,3,2
"1010",4,77,5,1
"1011",2,77,2,2
"1012",5,77,3,2
"1013",1,77,5,2
"1014",1,77,4,2
"1015",1,77,4,2
"1016",1,77,3,2
"1017",1,77,3,1
"1018",1,77,4,2
"1019",1,77,5,2
"1020",2,77,4,1
"1021",4,77,3,2
"1022",7,77,3,1
"1023",4,77,3,2
"1024",6,77,4,1
"1025",2,77,2,1
"1026",3,77,4,1
"1027",4,77,2,4
"1028",4,77,5,1
"1029",7,77,3,1
"1030",5,77,4,1
"1031",1,77,3,1
"1032",2,77,3,1
"1033",6,77,2,4
"1034",1,77,5,2
"1035",2,77,3,3
"1036",2,77,4,2
"1037",2,77,4,2
"1038",1,77,3,2
"1039",1,77,5,2
"1040",4,77,3,3
"1041",2,77,3,2
"1042",4,77,3,2
"1043",1,77,4,1
"1044",4,77,4,2
"1045",4,77,3,4
"1046",2,77,3,2
"1047",1,77,2,2
"1048",4,77,5,1
"1049",1,77,5,2
"1050",2,77,4,4
"1051",1,77,5,2
"1052",3,77,4,2
"1053",4,77,3,1
"1054",2,77,3,4
"1055",2,77,3,1
"1056",2,77,4,1
"1057",4,77,3,4
"1058",2,77,5,1
"1059",6,77,3,1
"1060",1,77,4,2
"1061",1,77,3,2
"1062",2,77,3,2
"1063",1,77,4,1
"1064",5,77,4,2
"1065",2,77,4,2
"1066",7,77,1,2
"1067",1,77,4,1
"1068",1,77,2,2
"1069",3,77,2,2
"1070",1,77,5,1
"1071",1,77,5,1
"1072",2,77,3,2
"1073",1,77,5,2
"1074",1,77,5,1
"1075",1,77,4,2
"1076",1,77,5,1
"1077",2,77,4,2
"1078",7,77,4,1
"1079",2,77,4,1
"1080",1,77,4,2
"1081",4,77,3,3
"1082",6,77,4,1
"1083",4,77,4,2
"1084",4,77,4,4
"1085",1,77,4,4
"1086",1,77,2,4
"1087",2,77,4,3
"1088",4,77,4,1
"1089",1,77,4,1
"1090",1,77,3,2
"1091",4,77,2,2
"1092",6,77,3,1
"1093",2,77,2,2
"1094",7,77,1,1
"1095",4,77,2,4
"1096",2,77,4,2
"1097",2,77,4,2
"1098",2,77,3,2
"1099",1,77,3,2
"1100",4,77,3,4
"1101",1,77,4,1
"1102",4,77,2,2
"1103",2,77,5,1
"1104",4,77,3,2
"1105",1,77,1,2
"1106",4,77,3,3
"1107",1,77,5,2
"1108",4,77,3,2
"1109",1,77,3,2
"1110",1,77,3,2
"1111",7,77,1,1
"1112",3,77,3,2
"1113",2,77,4,1
"1114",4,77,3,3
"1115",2,77,4,1
"1116",4,77,3,2
"1117",4,77,3,2
"1118",7,77,3,1
"1119",1,77,3,4
"1120",1,77,5,1
"1121",4,77,4,1
"1122",1,77,5,2
